normalized_brand,brand_example,ingredient_label,active_ingredients,observation_count,total_brand_observations,relative_frequency,rank,is_unique_top_candidate
2 5 mg,2.5 mg,Enalapril,"[""Enalapril""]",1,1,1.0,1,True
abesart,Abesart,Irbesartan,"[""Irbesartan""]",2,2,1.0,1,True
abigerd,Abigerd,Esomeprazolo,"[""Esomeprazolo""]",7,7,1.0,1,True
abis,Abis,Amlodipina,"[""Amlodipina""]",2,2,1.0,1,True
absorcol,Absorcol,Ezetimibe,"[""Ezetimibe""]",1,1,1.0,1,True
acarden,Acarden,Carvedilolo,"[""Carvedilolo""]",1,1,1.0,1,True
aciclin,Aciclin,Aciclovir,"[""Aciclovir""]",1,1,1.0,1,True
acido acetils au,Acido acetils au,Acido acetilsalicilico,"[""Acido acetilsalicilico""]",13,13,1.0,1,True
acido acetils eg,Acido acetils eg,Acido acetilsalicilico,"[""Acido acetilsalicilico""]",81,81,1.0,1,True
acido acetils san,Acido acetils san,Acido acetilsalicilico,"[""Acido acetilsalicilico""]",4,4,1.0,1,True
acido acetils te,Acido acetils te,Acido acetilsalicilico,"[""Acido acetilsalicilico""]",5,5,1.0,1,True
acido val s val eg,Acido val s val eg,Acido valproico/sodio valproato,"[""Acido valproico"", ""sodio valproato""]",1,1,1.0,1,True
actos,Actos,Pioglitazone,"[""Pioglitazone""]",2,2,1.0,1,True
adempas,Adempas,Riociguat,"[""Riociguat""]",7,7,1.0,1,True
adenuric,Adenuric,Febuxostat,"[""Febuxostat""]",9,9,1.0,1,True
adoport,Adoport,Tacrolimus,"[""Tacrolimus""]",2,2,1.0,1,True
adrovance,Adrovance,Acido alendronico/colecalciferolo,"[""Acido alendronico"", ""colecalciferolo""]",1,1,1.0,1,True
aircort,Aircort,Budesonide,"[""Budesonide""]",2,2,1.0,1,True
albital,Albital,Albumina umana,"[""Albumina umana""]",1,1,1.0,1,True
aldactone,Aldactone,Spironolattone,"[""Spironolattone""]",37,37,1.0,1,True
alendronato alm,Alendronato alm,Acido alendronico,"[""Acido alendronico""]",2,2,1.0,1,True
alfuzosina eg,Alfuzosina eg,Alfuzosina,"[""Alfuzosina""]",1,1,1.0,1,True
alfuzosina san,Alfuzosina san,Alfuzosina,"[""Alfuzosina""]",5,5,1.0,1,True
alfuzosina zen,Alfuzosina zen,Alfuzosina,"[""Alfuzosina""]",1,1,1.0,1,True
algidrin,Algidrin,Ibuprofene,"[""Ibuprofene""]",6,6,1.0,1,True
aliflus,Aliflus,Salmeterolo/fluticasone,"[""Salmeterolo"", ""fluticasone""]",1,1,1.0,1,True
alikres,Alikres,Duloxetina,"[""Duloxetina""]",1,1,1.0,1,True
allopurinolo acc,Allopurinolo acc,Allopurinolo,"[""Allopurinolo""]",35,35,1.0,1,True
allopurinolo doc,Allopurinolo doc,Allopurinolo,"[""Allopurinolo""]",4,4,1.0,1,True
allopurinolo teva,Allopurinolo teva,Allopurinolo,"[""Allopurinolo""]",10,10,1.0,1,True
almarytm,Almarytm,Flecainide,"[""Flecainide""]",13,13,1.0,1,True
alprazolam au,Alprazolam au,Alprazolam,"[""Alprazolam""]",2,2,1.0,1,True
alprazolam auro,Alprazolam auro,Alprazolam,"[""Alprazolam""]",2,2,1.0,1,True
alvesco,Alvesco,Ciclesonide,"[""Ciclesonide""]",1,1,1.0,1,True
ambrisentan med,Ambrisentan med,Ambrisentan,"[""Ambrisentan""]",2,2,1.0,1,True
amiodar,Amiodar,Amiodarone,"[""Amiodarone""]",1,1,1.0,1,True
amiodarone auro,Amiodarone auro,Amiodarone,"[""Amiodarone""]",18,18,1.0,1,True
amiodarone my,Amiodarone my,Amiodarone,"[""Amiodarone""]",1,1,1.0,1,True
amisitela,Amisitela,Ezetimibe/simvastatina,"[""Ezetimibe"", ""simvastatina""]",2,2,1.0,1,True
amlodipina abc,Amlodipina abc,Amlodipina,"[""Amlodipina""]",2,2,1.0,1,True
amoxicillina auro,Amoxicillina auro,Amoxicillina,"[""Amoxicillina""]",1,1,1.0,1,True
ampicillina bioph,Ampicillina bioph,Ampicillina,"[""Ampicillina""]",1,1,1.0,1,True
anadir,Anadir,Omeprazolo,"[""Omeprazolo""]",2,2,1.0,1,True
anastrozolo sand,Anastrozolo sand,Anastrozolo,"[""Anastrozolo""]",1,1,1.0,1,True
ancilleg,Ancilleg,Ezetimibe/atorvastatina,"[""Ezetimibe"", ""atorvastatina""]",8,8,1.0,1,True
angeliq,Angeliq,Estradiolo/drospirenone,"[""Estradiolo"", ""drospirenone""]",1,1,1.0,1,True
annister,Annister,Colecalciferolo,"[""Colecalciferolo""]",1,1,1.0,1,True
annova,Annova,Colecalciferolo,"[""Colecalciferolo""]",2,2,1.0,1,True
anoro ellipta,Anoro ellipta,Umeclidinio/vilanterolo,"[""Umeclidinio"", ""vilanterolo""]",3,3,1.0,1,True
ansimar,Ansimar,Doxofillina,"[""Doxofillina""]",6,6,1.0,1,True
ansiolin,Ansiolin,Diazepam,"[""Diazepam""]",2,2,1.0,1,True
antepsin,Antepsin,Sucralfato,"[""Sucralfato""]",3,3,1.0,1,True
antra,Antra,Omeprazolo,"[""Omeprazolo""]",1,1,1.0,1,True
antunes,Antunes,Tamsulosina,"[""Tamsulosina""]",3,3,1.0,1,True
apidra,Apidra,Insulina glulisina,"[""Insulina glulisina""]",5,5,1.0,1,True
aplactin,Aplactin,Pravastatina,"[""Pravastatina""]",1,1,1.0,1,True
aponil,Aponil,Lacidipina,"[""Lacidipina""]",1,1,1.0,1,True
aprovel,Aprovel,Irbesartan,"[""Irbesartan""]",5,5,1.0,1,True
arava,Arava,Leflunomide,"[""Leflunomide""]",1,1,1.0,1,True
argonal,Argonal,Mesalazina,"[""Mesalazina""]",2,2,1.0,1,True
aripiprazolo acc,Aripiprazolo acc,Aripiprazolo,"[""Aripiprazolo""]",1,1,1.0,1,True
arixtra,Arixtra,Fondaparinux,"[""Fondaparinux""]",6,6,1.0,1,True
asacol,Asacol,Mesalazina,"[""Mesalazina""]",2,2,1.0,1,True
aspirinetta,Aspirinetta,Acido acetilsalicilico,"[""Acido acetilsalicilico""]",2,2,1.0,1,True
asterid,Asterid,Finasteride,"[""Finasteride""]",1,1,1.0,1,True
atarax,Atarax,Idroxizina,"[""Idroxizina""]",2,2,1.0,1,True
atenololo clor doc,Atenololo clor doc,Atenololo/clortalidone,"[""Atenololo"", ""clortalidone""]",1,1,1.0,1,True
atenololo hex,Atenololo hex,Atenololo,"[""Atenololo""]",8,8,1.0,1,True
atoris,Atoris,Atorvastatina,"[""Atorvastatina""]",2,2,1.0,1,True
atorvastatina alm,Atorvastatina alm,Atorvastatina,"[""Atorvastatina""]",1,1,1.0,1,True
atorvastatina sa,Atorvastatina sa,Atorvastatina,"[""Atorvastatina""]",31,31,1.0,1,True
atover,Atover,Enalapril/lercanidipina,"[""Enalapril"", ""lercanidipina""]",1,1,1.0,1,True
