preferred_label,entity_type,source,aliases,AIC,ATC,RXCUI,DDINTER
131-I IODOMETHYL NORCHOLESTEROL,DRUG,AIFA anagrafica farmaci,131-I IODOMETHYL NORCHOLESTEROL,039028016,V09XA01,,
ABACAVIR,DRUG,AIFA anagrafica farmaci,ABACAVIR,043618014|043618026|043618038|045348012|045348036|045348051|045348063|045354014|045354026|045354038|045354040,J05AF06|J05AR02|J05AR13,,
ABACAVIR E LAMIVUDINA AUROBINDO,DRUG,AIFA anagrafica farmaci,ABACAVIR E LAMIVUDINA AUROBINDO,044669012|044669024|044669036|044669048|044669051|044669063,J05AR02,,
ABACAVIR E LAMIVUDINA SUN,DRUG,AIFA anagrafica farmaci,ABACAVIR E LAMIVUDINA SUN,045348012|045348036|045348051|045348063,J05AR02,,
ABACAVIR MYLAN,DRUG,AIFA anagrafica farmaci,ABACAVIR MYLAN,045354014|045354026|045354038|045354040,J05AF06,,
ABACAVIR SOLFATO,DRUG,AIFA anagrafica farmaci,ABACAVIR SOLFATO,034499018|034499020|034947010|034947022|034947034|034947046|036644019|036644021|042645010|042645022|042645034|042645046|042645059|042645061|042645073|042645085|042645097|042645109|042645111|042645123|042645135|044669012|044669024|044669036|044669048|044669051|044669063,J05AF06|J05AR02|J05AR04,,
ABACAVIR SOLFATO/LAMIVUDINA/ZIDOVUDINA,DRUG,AIFA anagrafica farmaci,ABACAVIR SOLFATO/LAMIVUDINA/ZIDOVUDINA,034947010|034947022|034947034|034947046|042645010|042645022|042645034|042645046|042645059|042645061|042645073|042645085|042645097|042645109|042645111|042645123|042645135,J05AR04,,
ABACAVIR/LAMIVUDINA/ZIDOVUDINA MYLAN,DRUG,AIFA anagrafica farmaci,ABACAVIR/LAMIVUDINA/ZIDOVUDINA MYLAN,042645010|042645022|042645034|042645046|042645059|042645061|042645073|042645085|042645097|042645109|042645111|042645123|042645135,J05AR04,,
ABACAVIR/LAMIVUDINE,DRUG,AIFA anagrafica farmaci,ABACAVIR/LAMIVUDINE,045348012,J05AR02,,
ABALOPARATIDE,DRUG,AIFA anagrafica farmaci,ABALOPARATIDE,050465018|050465020,H05AA04,,
