preferred_label,normalized_label,ATC,atc_link
ABACAVIR E LAMIVUDINA AUROBINDO,abacavir e lamivudina aurobindo,J05AR02,J05AR02
ABACAVIR E LAMIVUDINA SUN,abacavir e lamivudina sun,J05AR02,J05AR02
ABACAVIR MYLAN,abacavir mylan,J05AF06,J05AF06
ABACAVIR/LAMIVUDINA/ZIDOVUDINA MYLAN,abacavir/lamivudina/zidovudina mylan,J05AR04,J05AR04
ABASAGLAR,abasaglar,A10AE04,A10AE04
ABBA,abba,J01CR02,J01CR02
ABBE' CHAUPITRE N.7,abbe' chaupitre n.7,V03AX,V03AX
ABECMA,abecma,L01XL07,L01XL07
ABERIPRA,aberipra,N05AX12,N05AX12
ABESART,abesart,C09CA04,C09CA04
ABEVMY,abevmy,L01FG01,L01FG01
ABIES LINDA'S,abies linda's,V03AX,V03AX
ABIES NIGRA,abies nigra,V03AX,V03AX
ABIGERD,abigerd,A02BC05,A02BC05
ABILIFY,abilify,N05AX12,N05AX12
ABILIFY MAINTENA,abilify maintena,N05AX12,N05AX12
ABIMONO,abimono,G01AF07|D01AC05,
ABIOCLAV,abioclav,J01CR02,J01CR02
ABIOSTIL,abiostil,R01AX10,R01AX10
ABIRATERONE ABDI,abiraterone abdi,L02BX03,L02BX03
ABIRATERONE ABDI FARMA,abiraterone abdi farma,L02BX03,L02BX03
ABIRATERONE ACCORD,abiraterone accord,L02BX03,L02BX03
ABIRATERONE ARISTO,abiraterone aristo,L02BX03,L02BX03
ABIRATERONE EG,abiraterone eg,L02BX03,L02BX03
ABIRATERONE FARMOZ,abiraterone farmoz,L02BX03,L02BX03
ABIRATERONE KRKA,abiraterone krka,L02BX03,L02BX03
ABIRATERONE MEDAC,abiraterone medac,L02BX03,L02BX03
ABIRATERONE MEDICAL VALLEY,abiraterone medical valley,L02BX03,L02BX03
ABIRATERONE MYLAN,abiraterone mylan,L02BX03,L02BX03
ABIRATERONE OLPHA,abiraterone olpha,L02BX03,L02BX03
ABIRATERONE QILU,abiraterone qilu,L02BX03,L02BX03
ABIRATERONE SANDOZ,abiraterone sandoz,L02BX03,L02BX03
ABIRATERONE SANDOZ GMBH,abiraterone sandoz gmbh,L02BX03,L02BX03
ABIRATERONE SUN,abiraterone sun,L02BX03,L02BX03
ABIRATERONE TECNIGEN,abiraterone tecnigen,L02BX03,L02BX03
ABIRATERONE ZENTIVA,abiraterone zentiva,L02BX03,L02BX03
ABIS,abis,C08CA01,C08CA01
ABRAXANE,abraxane,L01CD01,L01CD01
ABRIFF,abriff,R03AK11,R03AK11
ABROSYX N,abrosyx n,V03AX,V03AX
ABROTANUM,abrotanum,V03AX,V03AX
ABRYSVO,abrysvo,J07BX05,J07BX05
ABSEAMED,abseamed,B03XA01,B03XA01
ABSORCOL,absorcol,C10AX09,C10AX09
ABSTRAL,abstral,N02AB03,N02AB03
ABUTRAX,abutrax,L01CD01,L01CD01
ACADIMOX,acadimox,J01CR02,J01CR02
ACAMBA,acamba,S01EE04,S01EE04
ACARBOSIO AUROBINDO,acarbosio aurobindo,A10BF01,A10BF01
ACARBOSIO DOC GENERICI,acarbosio doc generici,A10BF01,A10BF01
ACARBOSIO TECNIGEN,acarbosio tecnigen,A10BF01,A10BF01
ACARDEN,acarden,C07AG02,C07AG02
ACARPHAGE,acarphage,A10BF01,A10BF01
ACC,acc,R05CB01,R05CB01
ACC FLUIDIFICANTE E ANTIDOTO,acc fluidificante e antidoto,R05CB01,R05CB01
ACCARIZAX,accarizax,V01AA03,V01AA03
ACCFLUBUST,accflubust,R05CB01,R05CB01
ACCFLUEFF,accflueff,R05CB01,R05CB01
ACCOFIL,accofil,L03AA02,L03AA02
ACCUSOL CON POTASSIO,accusol con potassio,B05ZB,B05ZB
ACECLOFENAC ACCORD,aceclofenac accord,M01AB16,M01AB16
ACECLOFENAC EG,aceclofenac eg,M01AB16,M01AB16
ACEDIUR,acediur,C09BA01,C09BA01
ACESISTEM,acesistem,C09BA02,C09BA02
ACETAMOL,acetamol,N02BE01,N02BE01
ACETILCISTEINA ALTER,acetilcisteina alter,R05CB01,R05CB01
ACETILCISTEINA AUROBINDO ITALIA,acetilcisteina aurobindo italia,R05CB01,R05CB01
ACETILCISTEINA COOP,acetilcisteina coop,R05CB01,R05CB01
ACETILCISTEINA DOC,acetilcisteina doc,R05CB01,R05CB01
ACETILCISTEINA DOC GENERICI,acetilcisteina doc generici,R05CB01,R05CB01
ACETILCISTEINA EG,acetilcisteina eg,R05CB01,R05CB01
ACETILCISTEINA PENSA,acetilcisteina pensa,R05CB01,R05CB01
ACETILCISTEINA RATIOPHARM,acetilcisteina ratiopharm,R05CB01,R05CB01
ACETILCISTEINA ZENTIVA LAB,acetilcisteina zentiva lab,R05CB01,R05CB01
ACHILLEA MILLEFOLIUM DYNAMIS,achillea millefolium dynamis,V03AX,V03AX
ACICLIN,aciclin,J05AB01|D06BB03,
ACICLINLABIALE,aciclinlabiale,D06BB03,D06BB03
ACICLOVIR ABC,aciclovir abc,J05AB01|D06BB03,
ACICLOVIR ALMUS,aciclovir almus,J05AB01|D06BB03,
ACICLOVIR ALMUS PHARMA,aciclovir almus pharma,D06BB03,D06BB03
ACICLOVIR ALTER,aciclovir alter,D06BB03|J05AB01,
ACICLOVIR AUROBINDO,aciclovir aurobindo,D06BB03|J05AB01,
ACICLOVIR AUROBINDO ITALIA,aciclovir aurobindo italia,D06BB03,D06BB03
ACICLOVIR AUROBINDO PHARMA,aciclovir aurobindo pharma,J05AB01,J05AB01
ACICLOVIR DOC GENERICI,aciclovir doc generici,J05AB01|D06BB03,
ACICLOVIR DOROM,aciclovir dorom,J05AB01|D06BB03,
ACICLOVIR EG,aciclovir eg,J05AB01|D06BB03,
ACICLOVIR HIKMA,aciclovir hikma,J05AB01,J05AB01
ACICLOVIR MYLAN GENERICS,aciclovir mylan generics,J05AB01|D06BB03,
ACICLOVIR NORIDEM,aciclovir noridem,J05AB01,J05AB01
ACICLOVIR PENSA,aciclovir pensa,D06BB03|J05AB01,
ACICLOVIR PENSA PHARMA,aciclovir pensa pharma,J05AB01,J05AB01
ACICLOVIR SANDOZ,aciclovir sandoz,J05AB01|D06BB03,
ACICLOVIR ZENTIVA,aciclovir zentiva,J05AB01,J05AB01
ACIDO ACETILSALICILICO AUROBINDO,acido acetilsalicilico aurobindo,B01AC06,B01AC06
ACIDO ACETILSALICILICO DOC GENERICI,acido acetilsalicilico doc generici,B01AC06,B01AC06
ACIDO ACETILSALICILICO E ACIDO ASCORBICO COOP,acido acetilsalicilico e acido ascorbico coop,N02BA51,N02BA51
ACIDO ACETILSALICILICO EG,acido acetilsalicilico eg,B01AC06,B01AC06
ACIDO ACETILSALICILICO KRKA,acido acetilsalicilico krka,B01AC06,B01AC06
ACIDO ACETILSALICILICO L.F.M.,acido acetilsalicilico l.f.m.,N02BA01,N02BA01
ACIDO ACETILSALICILICO MYLAN,acido acetilsalicilico mylan,B01AC06,B01AC06
ACIDO ACETILSALICILICO PANPHARMA,acido acetilsalicilico panpharma,N02BA01,N02BA01
ACIDO ACETILSALICILICO PENSA,acido acetilsalicilico pensa,B01AC06,B01AC06
ACIDO ACETILSALICILICO SANDOZ GMBH,acido acetilsalicilico sandoz gmbh,B01AC06,B01AC06
ACIDO ACETILSALICILICO TECNIGEN,acido acetilsalicilico tecnigen,B01AC06,B01AC06
ACIDO ACETILSALICILICO TEVA ITALIA,acido acetilsalicilico teva italia,B01AC06,B01AC06
ACIDO ACETILSALICILICO ZENTIVA ITALIA,acido acetilsalicilico zentiva italia,B01AC06,B01AC06
ACIDO ALENDRONICO ALTER,acido alendronico alter,M05BA04,M05BA04
ACIDO ALENDRONICO AUROBINDO,acido alendronico aurobindo,M05BA04,M05BA04
ACIDO ALENDRONICO E COLECALCIFEROLO AUROBINDO,acido alendronico e colecalciferolo aurobindo,M05BB03,M05BB03
ACIDO ALENDRONICO FG,acido alendronico fg,M05BA04,M05BA04
ACIDO ALENDRONICO TECNIGEN,acido alendronico tecnigen,M05BA04,M05BA04
ACIDO ALENDRONICO ZENTIVA,acido alendronico zentiva,M05BA04,M05BA04
ACIDO BORICO AFOM,acido borico afom,D08AD,D08AD
ACIDO BORICO ALMUS,acido borico almus,D08AD,D08AD
ACIDO BORICO FARVE,acido borico farve,D08AD,D08AD
ACIDO BORICO MARCO VITI,acido borico marco viti,D08AD,D08AD
ACIDO BORICO NA,acido borico na,D08AD,D08AD
ACIDO BORICO NEW. FA.DEM.,acido borico new. fa.dem.,D08AD,D08AD
ACIDO BORICO SELLA,acido borico sella,D08AD,D08AD
ACIDO BORICO ZETA,acido borico zeta,D08AD,D08AD
ACIDO CARGLUMICO WAYMADE,acido carglumico waymade,A16AA05,A16AA05
ACIDO CHENODESOSSICOLICO LEADIANT,acido chenodesossicolico leadiant,A05AA01,A05AA01
ACIDO CITRICO SOL,acido citrico sol,V03AX,V03AX
ACIDO CLODRONICO DOC GENERICI,acido clodronico doc generici,M05BA02,M05BA02
ACIDO DL MALICO SOL,acido dl malico sol,V03AX,V03AX
ACIDO FOLICO DOC GENERICI,acido folico doc generici,B03BB01,B03BB01
ACIDO FOLICO EG,acido folico eg,B03BB01,B03BB01
ACIDO FOLICO MYLAN,acido folico mylan,B03BB01,B03BB01
ACIDO FOLICO SF,acido folico sf,B03BB01,B03BB01
ACIDO FOLICO TEVA,acido folico teva,B03BB01,B03BB01
ACIDO FUMARICO SOL,acido fumarico sol,V03AX,V03AX
ACIDO IBANDRONICO ACCORD,acido ibandronico accord,M05BA06,M05BA06
ACIDO IBANDRONICO ALTER,acido ibandronico alter,M05BA06,M05BA06
ACIDO IBANDRONICO AUROBINDO,acido ibandronico aurobindo,M05BA06,M05BA06
ACIDO IBANDRONICO DOC GENERICI,acido ibandronico doc generici,M05BA06,M05BA06
ACIDO IBANDRONICO EG,acido ibandronico eg,M05BA06,M05BA06
ACIDO IBANDRONICO MYLAN,acido ibandronico mylan,M05BA06,M05BA06
ACIDO IBANDRONICO PENSA,acido ibandronico pensa,M05BA06,M05BA06
ACIDO IBANDRONICO SANDOZ,acido ibandronico sandoz,M05BA06,M05BA06
ACIDO IBANDRONICO TECNIGEN,acido ibandronico tecnigen,M05BA06,M05BA06
ACIDO IBANDRONICO TEVA,acido ibandronico teva,M05BA06,M05BA06
ACIDO IBANDRONICO ZENTIVA,acido ibandronico zentiva,M05BA06,M05BA06
ACIDO MICOFENOLICO ACCORD,acido micofenolico accord,L04AA06,L04AA06
ACIDO MICOFENOLICO TILLOMED,acido micofenolico tillomed,L04AA06,L04AA06
ACIDO SALICILICO MARCO VITI,acido salicilico marco viti,D11AF,D11AF
ACIDO SALICILICO NA,acido salicilico na,D11AF,D11AF
ACIDO TRANEXAMICO ADAMED,acido tranexamico adamed,B02AA02,B02AA02
ACIDO TRANEXAMICO AUROBINDO,acido tranexamico aurobindo,B02AA02,B02AA02
ACIDO TRANEXAMICO BIOINDUSTRIA L.I.M.,acido tranexamico bioindustria l.i.m.,B02AA02,B02AA02
ACIDO TRICLOROACETICO ZETA,acido tricloroacetico zeta,D11AF,D11AF
ACIDO URSODESOSSICOLICO ABC,acido ursodesossicolico abc,A05AA02,A05AA02
ACIDO URSODESOSSICOLICO AUROBINDO,acido ursodesossicolico aurobindo,A05AA02,A05AA02
ACIDO URSODESOSSICOLICO DOC GENERICI,acido ursodesossicolico doc generici,A05AA02,A05AA02
ACIDO URSODESOSSICOLICO EG,acido ursodesossicolico eg,A05AA02,A05AA02
ACIDO URSODESOSSICOLICO EG STADA,acido ursodesossicolico eg stada,A05AA02,A05AA02
ACIDO URSODESOSSICOLICO MYLAN GENERICS,acido ursodesossicolico mylan generics,A05AA02,A05AA02
ACIDO URSODESOSSICOLICO RATIOPHARM,acido ursodesossicolico ratiopharm,A05AA02,A05AA02
ACIDO VALPROICO E SODIO VALPROATO EG,acido valproico e sodio valproato eg,N03AG01,N03AG01
ACIDO VALPROICO E SODIO VALPROATO RATIOPHARM,acido valproico e sodio valproato ratiopharm,N03AG01,N03AG01
ACIDO VALPROICO SANDOZ,acido valproico sandoz,N03AG01,N03AG01
ACIDO ZOLEDRONICO ACCORD,acido zoledronico accord,M05BA08,M05BA08
ACIDO ZOLEDRONICO ALTAN,acido zoledronico altan,M05BA08,M05BA08
ACIDO ZOLEDRONICO FRESENIUS KABI,acido zoledronico fresenius kabi,M05BA08,M05BA08
ACIDO ZOLEDRONICO GALENICA SENESE,acido zoledronico galenica senese,M05BA08,M05BA08
ACIDO ZOLEDRONICO HIKMA,acido zoledronico hikma,M05BA08,M05BA08
ACIDO ZOLEDRONICO HOSPIRA,acido zoledronico hospira,M05BA08,M05BA08
ACIDO ZOLEDRONICO MYLAN,acido zoledronico mylan,M05BA08,M05BA08
ACIDO ZOLEDRONICO SEACROSS,acido zoledronico seacross,M05BA08,M05BA08
ACIDO ZOLEDRONICO TEVA,acido zoledronico teva,M05BA08,M05BA08
ACIDO ZOLEDRONICO TILLOMED,acido zoledronico tillomed,M05BA08,M05BA08
ACIDUM BENZOICUM DYNAMIS,acidum benzoicum dynamis,V03AX,V03AX
ACIDUM FLUORATUM DYNAMIS,acidum fluoratum dynamis,V03AX,V03AX
ACIDUM FORMICUM DYNAMIS,acidum formicum dynamis,V03AX,V03AX
ACIDUM HYALURONICUM,acidum hyaluronicum,V03AX,V03AX
ACIDUM MURIATICUM,acidum muriaticum,V03AX,V03AX
ACIDUM MURIATICUM DYNAMIS,acidum muriaticum dynamis,V03AX,V03AX
ACIDUM NITRICUM,acidum nitricum,V03AX,V03AX
ACIDUM NITRICUM DYNAMIS,acidum nitricum dynamis,V03AX,V03AX
ACIDUM PHOSPHORICUM,acidum phosphoricum,V03AX,V03AX
ACIDUM PHOSPHORICUM DYNAMIS,acidum phosphoricum dynamis,V03AX,V03AX
ACIDUM PICRICUM DYNAMIS,acidum picricum dynamis,V03AX,V03AX
ACIDUM SULFURICUM DYNAMIS,acidum sulfuricum dynamis,V03AX,V03AX
ACKLAB,acklab,D06BB03,D06BB03
ACLASTA,aclasta,M05BA08,M05BA08
ACLATON,aclaton,N02BF02|N03AX16,
ACLOFID,aclofid,M05BA02,M05BA02
ACNATAC,acnatac,D10AF51,D10AF51
ACONITUM NAPELLUS,aconitum napellus,V03AX,V03AX
ACONITUM NAPELLUS DYNAMIS,aconitum napellus dynamis,V03AX,V03AX
ACONITUM NAPELLUS HOMEO SAPIENS COMP.,aconitum napellus homeo sapiens comp.,V03AX,V03AX
ACONITUM OTI COMPOSTO,aconitum oti composto,V03AX,V03AX
ACORIN,acorin,V03AX,V03AX
ACQUA PER PREPARAZIONI INIETTABILI B. BRAUN,acqua per preparazioni iniettabili b. braun,V07AB,V07AB
ACQUA PER PREPARAZIONI INIETTABILI BAXTER,acqua per preparazioni iniettabili baxter,V07AB,V07AB
ACQUA PER PREPARAZIONI INIETTABILI BIOINDUSTRIA L.I.M.,acqua per preparazioni iniettabili bioindustria l.i.m.,V07AB,V07AB
