preferred_label,entity_type,source,aliases,AIC,ATC,RXCUI,DDINTER
Abacavir,DRUG,DDInter,Abacavir,,,,DDInter1
Acamprosate,DRUG,DDInter,Acamprosate,,,,DDInter10
Anthrax vaccine,DRUG,DDInter,Anthrax vaccine,,,,DDInter100
Ivosidenib,DRUG,DDInter,Ivosidenib,,,,DDInter1000
Ixabepilone,DRUG,DDInter,Ixabepilone,,,,DDInter1001
Ixazomib,DRUG,DDInter,Ixazomib,,,,DDInter1002
Ixekizumab,DRUG,DDInter,Ixekizumab,,,,DDInter1003
Kanamycin,DRUG,DDInter,Kanamycin,,,,DDInter1004
Kaolin,DRUG,DDInter,Kaolin,,,,DDInter1005
Kava,DRUG,DDInter,Kava,,,,DDInter1006
Ketamine,DRUG,DDInter,Ketamine,,,,DDInter1007
Ketoconazole,DRUG,DDInter,Ketoconazole,,,,DDInter1008
Ketoprofen,DRUG,DDInter,Ketoprofen,,,,DDInter1009
Anti-inhibitor coagulant complex,DRUG,DDInter,Anti-inhibitor coagulant complex,,,,DDInter101
Ketorolac,DRUG,DDInter,Ketorolac,,,,DDInter1010
Ketorolac (ophthalmic),DRUG,DDInter,Ketorolac (ophthalmic),,,,DDInter1011
Ketotifen,DRUG,DDInter,Ketotifen,,,,DDInter1012
Labetalol,DRUG,DDInter,Labetalol,,,,DDInter1013
Lacosamide,DRUG,DDInter,Lacosamide,,,,DDInter1014
Lactic acid,DRUG,DDInter,Lactic acid,,,,DDInter1015
Lactitol,DRUG,DDInter,Lactitol,,,,DDInter1016
Lactobacillus acidophilus,DRUG,DDInter,Lactobacillus acidophilus,,,,DDInter1017
Lactulose,DRUG,DDInter,Lactulose,,,,DDInter1018
Lamivudine,DRUG,DDInter,Lamivudine,,,,DDInter1019
"Antihemophilic factor, human recombinant",DRUG,DDInter,"Antihemophilic factor, human recombinant",,,,DDInter102
Lamotrigine,DRUG,DDInter,Lamotrigine,,,,DDInter1020
Lanreotide,DRUG,DDInter,Lanreotide,,,,DDInter1021
Lansoprazole,DRUG,DDInter,Lansoprazole,,,,DDInter1022
Lanthanum carbonate,DRUG,DDInter,Lanthanum carbonate,,,,DDInter1023
Lapatinib,DRUG,DDInter,Lapatinib,,,,DDInter1024
Laronidase,DRUG,DDInter,Laronidase,,,,DDInter1025
Larotrectinib,DRUG,DDInter,Larotrectinib,,,,DDInter1026
Lasmiditan,DRUG,DDInter,Lasmiditan,,,,DDInter1027
Latanoprost,DRUG,DDInter,Latanoprost,,,,DDInter1028
Antilymphocyte immunoglobulin (horse),DRUG,DDInter,Antilymphocyte immunoglobulin (horse),,,,DDInter103
Ledipasvir,DRUG,DDInter,Ledipasvir,,,,DDInter1031
Lefamulin,DRUG,DDInter,Lefamulin,,,,DDInter1032
Leflunomide,DRUG,DDInter,Leflunomide,,,,DDInter1033
Lemborexant,DRUG,DDInter,Lemborexant,,,,DDInter1034
Lenalidomide,DRUG,DDInter,Lenalidomide,,,,DDInter1035
Lenvatinib,DRUG,DDInter,Lenvatinib,,,,DDInter1036
Lepirudin,DRUG,DDInter,Lepirudin,,,,DDInter1037
Lesinurad,DRUG,DDInter,Lesinurad,,,,DDInter1038
Letermovir,DRUG,DDInter,Letermovir,,,,DDInter1039
Antithrombin Alfa,DRUG,DDInter,Antithrombin Alfa,,,,DDInter104
Letrozole,DRUG,DDInter,Letrozole,,,,DDInter1040
Leucovorin,DRUG,DDInter,Leucovorin,,,,DDInter1041
Leuprolide,DRUG,DDInter,Leuprolide,,,,DDInter1042
Levacetylmethadol,DRUG,DDInter,Levacetylmethadol,,,,DDInter1043
Levamisole,DRUG,DDInter,Levamisole,,,,DDInter1044
Levamlodipine,DRUG,DDInter,Levamlodipine,,,,DDInter1045
Levetiracetam,DRUG,DDInter,Levetiracetam,,,,DDInter1046
Levmetamfetamine (nasal),DRUG,DDInter,Levmetamfetamine (nasal),,,,DDInter1047
Levobetaxolol (ophthalmic),DRUG,DDInter,Levobetaxolol (ophthalmic),,,,DDInter1048
Levobunolol,DRUG,DDInter,Levobunolol,,,,DDInter1049
Antithrombin III human,DRUG,DDInter,Antithrombin III human,,,,DDInter105
Levobunolol (ophthalmic),DRUG,DDInter,Levobunolol (ophthalmic),,,,DDInter1050
Levobupivacaine,DRUG,DDInter,Levobupivacaine,,,,DDInter1051
