ddinter_id_1,ddinter_id_2,source,severity,description
DDInter1,DDInter1012,DDInter,Unknown,DDInter unknown interaction between Ketotifen and Abacavir.
DDInter1,DDInter1018,DDInter,Unknown,DDInter unknown interaction between Lactulose and Abacavir.
DDInter1,DDInter1022,DDInter,Unknown,DDInter unknown interaction between Lansoprazole and Abacavir.
DDInter1,DDInter1033,DDInter,Major,DDInter major interaction between Abacavir and Leflunomide.
DDInter1,DDInter1041,DDInter,Unknown,DDInter unknown interaction between Leucovorin and Abacavir.
DDInter1,DDInter1064,DDInter,Unknown,DDInter unknown interaction between Levothyroxine and Abacavir.
DDInter1,DDInter1088,DDInter,Unknown,DDInter unknown interaction between Loperamide and Abacavir.
DDInter1,DDInter1091,DDInter,Unknown,DDInter unknown interaction between Loratadine and Abacavir.
DDInter1,DDInter1164,DDInter,Unknown,DDInter unknown interaction between Metformin and Abacavir.
DDInter1,DDInter1174,DDInter,Moderate,DDInter moderate interaction between Methotrexate and Abacavir.
DDInter1,DDInter1197,DDInter,Unknown,DDInter unknown interaction between Abacavir and Metoclopramide.
DDInter1,DDInter1202,DDInter,Unknown,DDInter unknown interaction between Metronidazole and Abacavir.
DDInter1,DDInter1231,DDInter,Unknown,DDInter unknown interaction between Misoprostol and Abacavir.
DDInter1,DDInter1242,DDInter,Unknown,DDInter unknown interaction between Montelukast and Abacavir.
DDInter1,DDInter1244,DDInter,Unknown,DDInter unknown interaction between Morphine and Abacavir.
DDInter1,DDInter1263,DDInter,Moderate,DDInter moderate interaction between Naltrexone and Abacavir.
DDInter1,DDInter127,DDInter,Moderate,DDInter moderate interaction between Asparaginase Escherichia coli and Abacavir.
DDInter1,DDInter1318,DDInter,Unknown,DDInter unknown interaction between Nystatin and Abacavir.
DDInter1,DDInter134,DDInter,Unknown,DDInter unknown interaction between Abacavir and Atovaquone.
DDInter1,DDInter1340,DDInter,Unknown,DDInter unknown interaction between Omeprazole and Abacavir.
DDInter1,DDInter1342,DDInter,Unknown,DDInter unknown interaction between Ondansetron and Abacavir.
DDInter1,DDInter1348,DDInter,Moderate,DDInter moderate interaction between Abacavir and Orlistat.
DDInter1,DDInter1357,DDInter,Unknown,DDInter unknown interaction between Oxandrolone and Abacavir.
DDInter1,DDInter1388,DDInter,Unknown,DDInter unknown interaction between Pantoprazole and Abacavir.
DDInter1,DDInter1404,DDInter,Moderate,DDInter moderate interaction between Pegaspargase and Abacavir.
DDInter1,DDInter1409,DDInter,Moderate,DDInter moderate interaction between Abacavir and Peginterferon beta-1a.
DDInter1,DDInter1472,DDInter,Unknown,DDInter unknown interaction between Abacavir and Pioglitazone.
DDInter1,DDInter1497,DDInter,Unknown,DDInter unknown interaction between Potassium chloride and Abacavir.
DDInter1,DDInter1513,DDInter,Unknown,DDInter unknown interaction between Prednisolone and Abacavir.
DDInter1,DDInter1515,DDInter,Unknown,DDInter unknown interaction between Prednisone and Abacavir.
DDInter1,DDInter1533,DDInter,Unknown,DDInter unknown interaction between Abacavir and Promethazine.
DDInter1,DDInter1550,DDInter,Unknown,DDInter unknown interaction between Pyrimethamine and Abacavir.
DDInter1,DDInter1559,DDInter,Unknown,DDInter unknown interaction between Abacavir and Rabeprazole.
DDInter1,DDInter1568,DDInter,Unknown,DDInter unknown interaction between Ranitidine and Abacavir.
DDInter1,DDInter1621,DDInter,Unknown,DDInter unknown interaction between Rosiglitazone and Abacavir.
DDInter1,DDInter1622,DDInter,Unknown,DDInter unknown interaction between Abacavir and Rosuvastatin.
DDInter1,DDInter1632,DDInter,Unknown,DDInter unknown interaction between Salbutamol and Abacavir.
DDInter1,DDInter1663,DDInter,Unknown,DDInter unknown interaction between Sevelamer and Abacavir.
DDInter1,DDInter1717,DDInter,Unknown,DDInter unknown interaction between Sucralfate and Abacavir.
DDInter1,DDInter1725,DDInter,Unknown,DDInter unknown interaction between Sulfasalazine and Abacavir.
DDInter1,DDInter1735,DDInter,Unknown,DDInter unknown interaction between Tacrolimus and Abacavir.
DDInter1,DDInter1771,DDInter,Major,DDInter major interaction between Abacavir and Teriflunomide.
DDInter1,DDInter1814,DDInter,Moderate,DDInter moderate interaction between Tioguanine and Abacavir.
DDInter1,DDInter1840,DDInter,Moderate,DDInter moderate interaction between Abacavir and Trabectedin.
DDInter1,DDInter1906,DDInter,Unknown,DDInter unknown interaction between Abacavir and Ursodeoxycholic acid.
DDInter1,DDInter1916,DDInter,Unknown,DDInter unknown interaction between Vancomycin and Abacavir.
DDInter1,DDInter1941,DDInter,Unknown,DDInter unknown interaction between Vitamin A and Abacavir.
DDInter1,DDInter1951,DDInter,Unknown,DDInter unknown interaction between Warfarin and Abacavir.
DDInter1,DDInter20,DDInter,Unknown,DDInter unknown interaction between Acetylsalicylic acid and Abacavir.
DDInter1,DDInter228,DDInter,Moderate,DDInter moderate interaction between Abacavir and Brentuximab vedotin.
DDInter1,DDInter246,DDInter,Unknown,DDInter unknown interaction between Abacavir and Budesonide.
DDInter1,DDInter25,DDInter,Unknown,DDInter unknown interaction between Acyclovir and Abacavir.
DDInter1,DDInter252,DDInter,Unknown,DDInter unknown interaction between Abacavir and Bupropion.
DDInter1,DDInter262,DDInter,Moderate,DDInter moderate interaction between Abacavir and Cabozantinib.
DDInter1,DDInter336,DDInter,Unknown,DDInter unknown interaction between Celecoxib and Abacavir.
DDInter1,DDInter343,DDInter,Unknown,DDInter unknown interaction between Cetirizine and Abacavir.
DDInter1,DDInter392,DDInter,Moderate,DDInter moderate interaction between Cladribine and Abacavir.
DDInter1,DDInter393,DDInter,Unknown,DDInter unknown interaction between Abacavir and Clarithromycin.
DDInter1,DDInter398,DDInter,Unknown,DDInter unknown interaction between Abacavir and Clindamycin.
DDInter1,DDInter402,DDInter,Unknown,DDInter unknown interaction between Abacavir and Clobetasol.
DDInter1,DDInter405,DDInter,Moderate,DDInter moderate interaction between Clofarabine and Abacavir.
DDInter1,DDInter413,DDInter,Unknown,DDInter unknown interaction between Clopidogrel and Abacavir.
DDInter1,DDInter424,DDInter,Moderate,DDInter moderate interaction between Abacavir and Cobicistat.
DDInter1,DDInter449,DDInter,Unknown,DDInter unknown interaction between Cromoglicic acid and Abacavir.
DDInter1,DDInter458,DDInter,Unknown,DDInter unknown interaction between Cyclosporine and Abacavir.
DDInter1,DDInter475,DDInter,Unknown,DDInter unknown interaction between Dapsone and Abacavir.
DDInter1,DDInter513,DDInter,Unknown,DDInter unknown interaction between Abacavir and Dexamethasone.
DDInter1,DDInter537,DDInter,Unknown,DDInter unknown interaction between Diclofenac and Abacavir.
DDInter1,DDInter576,DDInter,Minor,DDInter minor interaction between Disulfiram and Abacavir.
DDInter1,DDInter593,DDInter,Unknown,DDInter unknown interaction between Abacavir and Doxepin.
DDInter1,DDInter596,DDInter,Unknown,DDInter unknown interaction between Doxorubicin and Abacavir.
DDInter1,DDInter655,DDInter,Moderate,DDInter moderate interaction between Epirubicin and Abacavir.
DDInter1,DDInter690,DDInter,Minor,DDInter minor interaction between Ethanol and Abacavir.
DDInter1,DDInter712,DDInter,Unknown,DDInter unknown interaction between Famotidine and Abacavir.
DDInter1,DDInter732,DDInter,Unknown,DDInter unknown interaction between Fexofenadine and Abacavir.
DDInter1,DDInter743,DDInter,Unknown,DDInter unknown interaction between Fluconazole and Abacavir.
DDInter1,DDInter766,DDInter,Unknown,DDInter unknown interaction between Abacavir and Fluticasone.
DDInter1,DDInter771,DDInter,Unknown,DDInter unknown interaction between Folic acid and Abacavir.
DDInter1,DDInter801,DDInter,Unknown,DDInter unknown interaction between Abacavir and Galactose.
DDInter1,DDInter815,DDInter,Unknown,DDInter unknown interaction between Gentamicin and Abacavir.
DDInter1,DDInter825,DDInter,Unknown,DDInter unknown interaction between Glimepiride and Abacavir.
