code,display
001,COLERA
001.0,COLERA DA VIBRIO CHOLERAE
001.1,COLERA DA VIBRIO CHOLERAE EL TOR
001.9,COLERA NON SPECIFICATO
002,FEBBRE TIFOIDE E PARATIFOIDE
002.0,FEBBRE TIFOIDE
002.1,PARATIFO A
002.2,PARATIFO B
002.3,PARATIFO C
002.9,PARATIFO NON SPECIFICATO
003,ALTRE INFEZIONI DA SALMONELLA
003.0,GASTROENTERITE DA SALMONELLA
003.1,SETTICEMIA DA SALMONELLA
003.2,INFEZIONI LOCALIZZATE DA SALMONELLA
003.20,"INFEZIONI LOCALIZZATE DA SALMONELLA,NON SPECIFICATE"
003.21,MENINGITE DA SALMONELLA
003.22,POLMONITE DA SALMONELLA
003.23,ARTRITE DA SALMONELLA
003.24,OSTEOMIELITE DA SALMONELLA
003.29,ALTRE INFEZIONI LOCALIZZATE DA SALMONELLA
003.8,ALTRE INFEZIONI SPECIFICHE DA SALMONELLA
003.9,INFEZIONI DA SALMONELLA NON SPECIFICATE
004,SHIGELLOSI
004.0,SHIGELLA DYSENTERIAE
004.1,SHIGELLA FLEXNERI
004.2,SHIGELLA BOYDII
004.3,SHIGELLA SONNEI
004.8,ALTRE INFEZIONI SPECIFICHE DA SHIGELLA
004.9,SHIGELLOSI NON SPECIFICATA
005,ALTRE INTOSSICAZIONI ALIMENTARI (BATTERICHE)
005.0,INTOSSICAZIONE ALIMENTARE DA STAFILOCOCCO
005.1,BOTULISMO
005.2,INTOSSICAZIONE ALIMENTARE DA CLOSTRIDIUM PERFRINGENS (C. WELCHII)
005.3,INTOSSICAZIONE ALIMENTARE DA ALTRI CLOSTRIDI
005.4,INTOSSICAZIONE ALIMENTARE DA VIBRIO PARAHAEMOLYTICUS
005.8,ALTRE INTOSSICAZIONI ALIMENTARI BATTERICHE
005.81,INTOSSICAZIONE ALIMENTARE DA VIBRIO VULNIFICUS
005.89,ALTRE INTOSSICAZIONI ALIMENTARI BATTERICHE
005.9,INTOSSICAZIONE ALIMENTARE NON SPECIFICATA
006,AMEBIASI
006.0,DISSENTERIA AMEBICA ACUTA SENZA MENZIONE DI ASCESSO
006.1,AMEBIASI INTESTINALE CRONICA SENZA MENZIONE DI ASCESSO
006.2,COLITE AMEBICA NON DISSENTERICA
006.3,ASCESSO AMEBICO DEL FEGATO
006.4,ASCESSO AMEBICO DEL POLMONE
006.5,ASCESSO AMEBICO DELL'ENCEFALO
006.6,ULCERA AMEBICA DELLA PELLE
006.8,INFEZIONE AMEBICA DI ALTRE SEDI
006.9,AMEBIASI NON SPECIFICATA
007,ALTRE MALATTIE INTESTINALI DA PROTOZOI
007.0,BALANTIDIASI
007.1,GIARDIASI
007.2,COCCIDIOSI
007.3,TRICOMONIASI INTESTINALE
007.4,CRIPTOSPORIDIOSI
007.5,CICLOSPORIASI
007.8,ALTRE MALATTIE INTESTINALI DA PROTOZOI
007.9,MALATTIA INTESTINALE NON SPECIFICATA DA PROTOZOI
008,INFEZIONI INTESTINALI DA ALTRI ORGANISMI
008.0,INFEZIONE INTESTINALE DA ESCHERICHIA COLI
008.00,INFEZIONE INTESTINALE DA ESCHERICHIA COLI NON SPECIFICATO
008.01,INFEZIONE INTESTINALE DA ESCHERICHIA COLI ENTEROPATOGENO
008.02,INFEZIONE INTESTINALE DA ESCHERICHIA COLI ENTEROTOSSICO
008.03,INFEZIONE INTESTINALE DA ESCHERICHIA COLI ENTEROINVASIOA
008.04,INFEZIONE INTESTINALE DA ESCHERICHIA COLI ENTEROEMORRAGICO
008.09,ALTRE INFEZIONI INTESTINALI DA ESCHERICHIA COLI
008.1,INFEZIONE INTESTINALE DA BACILLI PARACOLICI DEL GRUPPO ARIZONA
008.2,INFEZIONE INTESTINALE DA AEROBACTER AEROGENES
008.3,INFEZIONE INTESTINALE DA PROTEUS (MIRABILIS) (MORGANII)
008.4,INFEZIONE INTESTINALE DA ALTRI BATTERI SPECIFICATI
008.41,INFEZIONE INTESTINALE DA STAFILOCOCCO
008.42,INFEZIONE INTESTINALE DA PSEUDOMONAS
008.43,INFEZIONE INTESTINALE DA CAMPYLOBACTER
008.44,INFEZIONE INTESTINALE DA YERSINIA ENTEROCOLITICA
008.45,INFEZIONE INTESTINALE DA CLOSTRIDIUM DIFFICILE
008.46,INFEZIONE INTESTINALE DA ALTRI ANAEROBI
008.47,INFEZIONE INTESTINALE DA ALTRI BATTERI GRAM-NEGATIVI
008.49,INFEZIONE INTESTINALE DA ALTRI BATTERI SPECIFICATI
008.5,ENTERITE BATTERICA NON SPECIFICATA
008.6,ENTERITE DA VIRUS SPECIFICATI
008.61,ENTERITE DA ROTAVIRUS
008.62,ENTERITE DA ADENOVIRUS
008.63,ENTERITE DA NORWALK VIRUS
008.64,ENTERITE DA ALTRI SMALL ROUND VIRUS
008.65,ENTERITE DA CALICIVIRUS
008.66,ENTERITE DA ASTROVIRUS
008.67,ENTERITE DA ENTEROVIRUS NIA
008.69,ALTRE ENTERITI VIRALI
008.8,INFEZIONE INTESTINALE DA ALTRI ORGANISMI NON CLASSIFICATI ALTROVE
009,INFEZIONI INTESTINALI MAL DEFINITE
009.0,"COLITE,ENTERITE E GASTROENTERITE INFETTIVE"
009.1,"COLITE,ENTERITE E GASTROENTERITE DI PRESUNTA ORIGINE INFETTIVA"
009.2,DIARREA INFETTIVA
009.3,DIARREA DI PRESUNTA ORIGINE INFETTIVA
010,INFEZIONE TUBERCOLARE PRIMARIA
010.0,COMPLESSO TUBERCOLARE PRIMARIO
010.00,"COMPLESSO TUBERCOLARE PRIMARIO,NON SPECIFICATO"
