preferred_label,lookup_key,atc_link,atc4,atc4_candidates,atc_exact,atc_candidates,RXCUI,DDINTER,ddinter_similarity
131-I Iodomethyl Norcholesterol,131-i iodomethyl norcholesterol,V09XA01,V09XA,V09XA,V09XA01,V09XA01,,,
[18F]Psma-1007,[18f]psma-1007,V09IX,V09IX,V09IX,V09IX,V09IX,2586016,,
Abacavir,abacavir,J05AF06,J05AF,J05AF,J05AF06,J05AF06,190521,DDInter1,1.000000
Abaloparatide,abaloparatide,H05AA04,H05AA,H05AA,H05AA04,H05AA04,1921069,DDInter2,1.000000
Abatacept,abatacept,L04AA24,L04AA,L04AA,L04AA24,L04AA24,614391,DDInter5,1.000000
Abemaciclib,abemaciclib,L01EF03,L01EF,L01EF,L01EF03,L01EF03,1946825,DDInter7,1.000000
Abies Nigra,abies nigra,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Abiraterone,abiraterone,L02BX03,L02BX,L02BX,L02BX03,L02BX03,1100072,DDInter8,1.000000
Abrocitinib,abrocitinib,D11AH08,D11AH,D11AH,D11AH08,D11AH08,2591476,,
Acalabrutinib,acalabrutinib,L01EL02,L01EL,L01EL,L01EL02,L01EL02,1986808,DDInter9,1.000000
Acamprosato,acamprosato,N07BB03,N07BB,N07BB,N07BB03,N07BB03,82819,,
Acarbosio,acarbosio,A10BF01,A10BF,A10BF,A10BF01,A10BF01,16681,,
Acebutololo,acebutololo,C07AB04,C07AB,C07AB,C07AB04,C07AB04,149,DDInter12,0.952381
Aceclofenac,aceclofenac,M01AB16,,M01AB|M02AA,,M01AB16|M02AA25,16689,,
Acenocumarolo,acenocumarolo,B01AA07,B01AA,B01AA,B01AA07,B01AA07,154,,
Acetazolamide,acetazolamide,S01EC01,S01EC,S01EC,S01EC01,S01EC01,167,DDInter15,1.000000
Acetilcisteina,acetilcisteina,R05CB01,,R05CB|S01XA|V03AB,,R05CB01|S01XA08|V03AB23,197,,
Acetilcolina Cloruro,acetilcolina cloruro,S01EB09,S01EB,S01EB,S01EB09,S01EB09,194,,
Acetossietilcefuroxima,acetossietilcefuroxima,J01DC02,J01DC,J01DC,J01DC02,J01DC02,,,
Acetylcysteine,acetylcysteine,R05CB01,R05CB,R05CB,R05CB01,R05CB01,197,DDInter19,1.000000
Achillea Millefolium,achillea millefolium,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Aciclovir,aciclovir,J05AB01,,D06BB|J05AB|S01AD,,J05AB01|D06BB03|S01AD03,281,,
Aciclovir Sale Sodico,aciclovir sale,J05AB01,J05AB,J05AB,J05AB01,J05AB01,281,,
Acidi Omega 3 Esteri Etilici 90,acidi omega 3 esteri etilici,C10AX06,C10AX,C10AX,C10AX06,C10AX06,,,
Acido 5-Aminolevulinico,acido 5-aminolevulinico,L01XD04,L01XD,L01XD,L01XD04,L01XD04,683,,
Acido Acetilsalicilico,acido acetilsalicilico,B01AC06,,B01AC|N02BA,,B01AC06|N02BA01,1191,,
Acido Alendronico,acido alendronico,M05BA04,M05BA,M05BA,M05BA04,M05BA04,236083,,
Acido Arsenioso,acido arsenioso,L01XX27,L01XX,L01XX,L01XX27,L01XX27,,,
Acido Ascorbico,acido ascorbico,A11GA01,A11GA,A11GA,A11GA01,A11GA01,1151,,
Acido Azelaico,acido azelaico,D10AX03,D10AX,D10AX,D10AX03,D10AX03,18602,,
Acido Bempedoico,acido bempedoico,C10AX15,C10AX,C10AX,C10AX15,C10AX15,2282403,,
Acido Borico,acido borico,D08AD,D08AD,D08AD,D08AD,D08AD,,,
Acido Carglumico,acido carglumico,A16AA05,A16AA,A16AA,A16AA05,A16AA05,401713,,
Acido Chenodesossicolico,acido chenodesossicolico,A05AA01,A05AA,A05AA,A05AA01,A05AA01,,,
Acido Clodronico,acido clodronico,M05BA02,M05BA,M05BA,M05BA02,M05BA02,3350,,
Acido Colico,acido colico,A05AA03,A05AA,A05AA,A05AA03,A05AA03,,,
