rxcui,class_id,class_name,class_type,rela,rela_source
154,D000074,Acenocoumarol,CHEM,has_ingredient,MEDRT
167,D000086,Acetazolamide,CHEM,has_ingredient,MEDRT
167,D000138,Acidosis,DISEASE,ci_with,MEDRT
167,D000307,Adrenal Gland Diseases,DISEASE,ci_with,MEDRT
167,D000532,Altitude Sickness,DISEASE,may_treat,MEDRT
167,D004342,Drug Hypersensitivity,DISEASE,ci_with,MEDRT
167,D005901,Glaucoma,DISEASE,may_treat,MEDRT
167,D007008,Hypokalemia,DISEASE,ci_with,MEDRT
167,D007010,Hyponatremia,DISEASE,ci_with,MEDRT
167,D007674,Kidney Diseases,DISEASE,ci_with,MEDRT
167,D008103,Liver Cirrhosis,DISEASE,ci_with,MEDRT
167,D008107,Liver Diseases,DISEASE,ci_with,MEDRT
167,D008173,"Lung Diseases, Obstructive",DISEASE,ci_with,MEDRT
167,D012640,Seizures,DISEASE,may_treat,MEDRT
167,D013449,Sulfonamides,CHEM,ci_chemclass,MEDRT
167,D015812,"Glaucoma, Angle-Closure",DISEASE,ci_with,MEDRT
167,N0000000235,Carbonic Anhydrase Inhibitors,MOA,has_moa,MEDRT
167,N0000000235,Carbonic Anhydrase Inhibitors,MOA,ci_moa,MEDRT
167,N0000008382,Decreased Adrenocorticotropic Hormone Secretion,PE,ci_pe,MEDRT
167,N0000008486,Decreased Central Nervous System Disorganized Electrical Activity,PE,has_pe,MEDRT
167,N0000008501,Decreased Central Nervous System Organized Electrical Activity,PE,has_pe,MEDRT
167,N0000009263,Increased Collecting Duct Water Permeability,PE,has_pe,MEDRT
167,N0000009549,Increased Renal HCO3- Excretion,PE,has_pe,MEDRT
167,N0000009551,Increased Renal K+ Excretion,PE,has_pe,MEDRT
167,N0000009553,Increased Renal Na+ Excretion,PE,has_pe,MEDRT
167,N0000009943,Decreased Intraocular Fluid Pressure,PE,has_pe,MEDRT
167,D000138,Acidosis,DISEASE,ci_with,MEDRT
167,D000307,Adrenal Gland Diseases,DISEASE,ci_with,MEDRT
167,D000532,Altitude Sickness,DISEASE,may_treat,MEDRT
167,D004342,Drug Hypersensitivity,DISEASE,ci_with,MEDRT
167,D005901,Glaucoma,DISEASE,may_treat,MEDRT
167,D006947,Hyperkalemia,DISEASE,ci_with,MEDRT
167,D007008,Hypokalemia,DISEASE,ci_with,MEDRT
167,D007010,Hyponatremia,DISEASE,ci_with,MEDRT
167,D007674,Kidney Diseases,DISEASE,ci_with,MEDRT
167,D008103,Liver Cirrhosis,DISEASE,ci_with,MEDRT
167,D008107,Liver Diseases,DISEASE,ci_with,MEDRT
167,D008173,"Lung Diseases, Obstructive",DISEASE,ci_with,MEDRT
167,D012640,Seizures,DISEASE,may_treat,MEDRT
167,D013449,Sulfonamides,CHEM,ci_chemclass,MEDRT
167,D015812,"Glaucoma, Angle-Closure",DISEASE,ci_with,MEDRT
167,N0000000235,Carbonic Anhydrase Inhibitors,MOA,has_moa,MEDRT
167,N0000000235,Carbonic Anhydrase Inhibitors,MOA,ci_moa,MEDRT
167,N0000008382,Decreased Adrenocorticotropic Hormone Secretion,PE,ci_pe,MEDRT
167,N0000008486,Decreased Central Nervous System Disorganized Electrical Activity,PE,has_pe,MEDRT
167,N0000008501,Decreased Central Nervous System Organized Electrical Activity,PE,has_pe,MEDRT
167,N0000009263,Increased Collecting Duct Water Permeability,PE,has_pe,MEDRT
167,N0000009549,Increased Renal HCO3- Excretion,PE,has_pe,MEDRT
167,N0000009551,Increased Renal K+ Excretion,PE,has_pe,MEDRT
167,N0000009553,Increased Renal Na+ Excretion,PE,has_pe,MEDRT
167,N0000009943,Decreased Intraocular Fluid Pressure,PE,has_pe,MEDRT
197,D000111,Acetylcysteine,CHEM,has_ingredient,MEDRT
197,D000686,Amyloidosis,DISEASE,may_treat,MEDRT
197,D001987,Bronchiectasis,DISEASE,may_treat,MEDRT
197,D001991,Bronchitis,DISEASE,may_treat,MEDRT
197,D003550,Cystic Fibrosis,DISEASE,may_treat,MEDRT
197,D004342,Drug Hypersensitivity,DISEASE,ci_with,MEDRT
197,D007683,"Kidney Tubular Necrosis, Acute",DISEASE,may_prevent,MEDRT
197,D011014,Pneumonia,DISEASE,may_treat,MEDRT
197,D011041,Poisoning,DISEASE,may_treat,MEDRT
197,D011183,Postoperative Complications,DISEASE,may_prevent,MEDRT
197,D011656,Pulmonary Emphysema,DISEASE,may_treat,MEDRT
197,D012128,Respiratory Distress Syndrome,DISEASE,may_treat,MEDRT
197,D064420,Drug-Related Side Effects and Adverse Reactions,DISEASE,may_treat,MEDRT
197,N0000000170,Free Radical Scavenging Activity,MOA,has_moa,MEDRT
197,N0000008867,Decreased Respiratory Secretion Viscosity,PE,has_pe,MEDRT
197,D000686,Amyloidosis,DISEASE,may_treat,MEDRT
197,D001987,Bronchiectasis,DISEASE,may_treat,MEDRT
197,D001991,Bronchitis,DISEASE,may_treat,MEDRT
197,D003550,Cystic Fibrosis,DISEASE,may_treat,MEDRT
197,D004342,Drug Hypersensitivity,DISEASE,ci_with,MEDRT
197,D007683,"Kidney Tubular Necrosis, Acute",DISEASE,may_prevent,MEDRT
197,D011014,Pneumonia,DISEASE,may_treat,MEDRT
197,D011041,Poisoning,DISEASE,may_treat,MEDRT
197,D011183,Postoperative Complications,DISEASE,may_prevent,MEDRT
197,D011656,Pulmonary Emphysema,DISEASE,may_treat,MEDRT
197,D012128,Respiratory Distress Syndrome,DISEASE,may_treat,MEDRT
197,D064420,Drug-Related Side Effects and Adverse Reactions,DISEASE,may_treat,MEDRT
197,N0000000170,Free Radical Scavenging Activity,MOA,has_moa,MEDRT
197,N0000008867,Decreased Respiratory Secretion Viscosity,PE,has_pe,MEDRT
197,D000686,Amyloidosis,DISEASE,may_treat,MEDRT
197,D001987,Bronchiectasis,DISEASE,may_treat,MEDRT
197,D001991,Bronchitis,DISEASE,may_treat,MEDRT
197,D003550,Cystic Fibrosis,DISEASE,may_treat,MEDRT
197,D004342,Drug Hypersensitivity,DISEASE,ci_with,MEDRT
197,D007683,"Kidney Tubular Necrosis, Acute",DISEASE,may_prevent,MEDRT
197,D011014,Pneumonia,DISEASE,may_treat,MEDRT
197,D011041,Poisoning,DISEASE,may_treat,MEDRT
197,D011183,Postoperative Complications,DISEASE,may_prevent,MEDRT
197,D011656,Pulmonary Emphysema,DISEASE,may_treat,MEDRT
197,D012128,Respiratory Distress Syndrome,DISEASE,may_treat,MEDRT
197,D064420,Drug-Related Side Effects and Adverse Reactions,DISEASE,may_treat,MEDRT
197,N0000000170,Free Radical Scavenging Activity,MOA,has_moa,MEDRT
197,N0000008867,Decreased Respiratory Secretion Viscosity,PE,has_pe,MEDRT
197,D000111,Acetylcysteine,CHEM,has_ingredient,MEDRT
197,D000686,Amyloidosis,DISEASE,may_treat,MEDRT
197,D001987,Bronchiectasis,DISEASE,may_treat,MEDRT
197,D001991,Bronchitis,DISEASE,may_treat,MEDRT
197,D003550,Cystic Fibrosis,DISEASE,may_treat,MEDRT
197,D004342,Drug Hypersensitivity,DISEASE,ci_with,MEDRT
197,D007683,"Kidney Tubular Necrosis, Acute",DISEASE,may_prevent,MEDRT
197,D008171,Lung Diseases,DISEASE,may_diagnose,MEDRT
197,D011014,Pneumonia,DISEASE,may_treat,MEDRT
197,D011041,Poisoning,DISEASE,may_treat,MEDRT
197,D011183,Postoperative Complications,DISEASE,may_prevent,MEDRT
197,D011656,Pulmonary Emphysema,DISEASE,may_treat,MEDRT
197,D012128,Respiratory Distress Syndrome,DISEASE,may_treat,MEDRT
197,D064420,Drug-Related Side Effects and Adverse Reactions,DISEASE,may_treat,MEDRT
197,N0000000170,Free Radical Scavenging Activity,MOA,has_moa,MEDRT
197,N0000008867,Decreased Respiratory Secretion Viscosity,PE,has_pe,MEDRT
197,D000111,Acetylcysteine,CHEM,has_ingredient,MEDRT
197,D000686,Amyloidosis,DISEASE,may_treat,MEDRT
197,D001987,Bronchiectasis,DISEASE,may_treat,MEDRT
197,D001991,Bronchitis,DISEASE,may_treat,MEDRT
197,D003550,Cystic Fibrosis,DISEASE,may_treat,MEDRT
197,D004342,Drug Hypersensitivity,DISEASE,ci_with,MEDRT
197,D007683,"Kidney Tubular Necrosis, Acute",DISEASE,may_prevent,MEDRT
197,D011014,Pneumonia,DISEASE,may_treat,MEDRT
197,D011041,Poisoning,DISEASE,may_treat,MEDRT
197,D011183,Postoperative Complications,DISEASE,may_prevent,MEDRT
197,D011656,Pulmonary Emphysema,DISEASE,may_treat,MEDRT
197,D012128,Respiratory Distress Syndrome,DISEASE,may_treat,MEDRT
197,D064420,Drug-Related Side Effects and Adverse Reactions,DISEASE,may_treat,MEDRT
197,N0000000170,Free Radical Scavenging Activity,MOA,has_moa,MEDRT
197,N0000008867,Decreased Respiratory Secretion Viscosity,PE,has_pe,MEDRT
281,D000212,Acyclovir,CHEM,has_ingredient,MEDRT
281,D002644,Chickenpox,DISEASE,may_prevent,MEDRT
281,D002644,Chickenpox,DISEASE,may_treat,MEDRT
281,D003586,Cytomegalovirus Infections,DISEASE,may_prevent,MEDRT
281,D004342,Drug Hypersensitivity,DISEASE,ci_with,MEDRT
281,D006558,Herpes Genitalis,DISEASE,may_treat,MEDRT
281,D006560,Herpes Labialis,DISEASE,may_treat,MEDRT
281,D006561,Herpes Simplex,DISEASE,may_prevent,MEDRT
281,D006562,Herpes Zoster,DISEASE,may_prevent,MEDRT
281,D006563,Herpes Zoster Ophthalmicus,DISEASE,may_treat,MEDRT
281,D017088,AIDS-Related Opportunistic Infections,DISEASE,may_treat,MEDRT
281,D020031,Epstein-Barr Virus Infections,DISEASE,may_treat,MEDRT
281,D020803,"Encephalitis, Herpes Simplex",DISEASE,may_treat,MEDRT
281,N0000008577,Decreased DNA Replication,PE,has_pe,MEDRT
281,N0000020060,DNA Polymerase Inhibitors,MOA,has_moa,MEDRT
281,D000212,Acyclovir,CHEM,has_ingredient,MEDRT
281,D002644,Chickenpox,DISEASE,may_prevent,MEDRT
281,D002644,Chickenpox,DISEASE,may_treat,MEDRT
281,D003586,Cytomegalovirus Infections,DISEASE,may_prevent,MEDRT
281,D004342,Drug Hypersensitivity,DISEASE,ci_with,MEDRT
281,D006558,Herpes Genitalis,DISEASE,may_treat,MEDRT
