query,rxcui,rxnorm_name,tty,status,source_version,retrieval_date
Acenocumarolo,154,acenocoumarol,IN,LINKED,RxNorm current via RxNav,2026-06-28
Acetazolamide,167,acetazolamide,IN,LINKED,RxNorm current via RxNav,2026-06-28
Acetilcisteina,197,acetylcysteine,IN,LINKED,RxNorm current via RxNav,2026-06-28
Aciclovir,281,acyclovir,IN,LINKED,RxNorm current via RxNav,2026-06-28
acido acetilsalicilico,1191,aspirin,IN,LINKED,RxNorm current via RxNav,2026-06-28
Acido acetilsalicilico,1191,aspirin,IN,LINKED,RxNorm current via RxNav,2026-06-28
Acido alendronico,236083,alendronic acid,PIN,LINKED,RxNorm current via RxNav,2026-06-28
Acido alendronico/colecalciferolo,,,,NIL,RxNorm current via RxNav,2026-06-28
Acido bempedoico,,,,NIL,RxNorm current via RxNav,2026-06-28
Acido bempedoico/ezetimibe,,,,NIL,RxNorm current via RxNav,2026-06-28
acido clavulanico,21216,clavulanic acid,PIN,LINKED,RxNorm current via RxNav,2026-06-28
Acido folico,4511,folic acid,IN,LINKED,RxNorm current via RxNav,2026-06-28
Acido fusidico,4608,fusidic acid,PIN,LINKED,RxNorm current via RxNav,2026-06-28
Acido ialuronico,,,,NIL,RxNorm current via RxNav,2026-06-28
Acido micofenolico,7145,mycophenolic acid,IN,LINKED,RxNorm current via RxNav,2026-06-28
Acido neridronico,,,,NIL,RxNorm current via RxNav,2026-06-28
Acido tranexamico,10691,tranexamic acid,IN,LINKED,RxNorm current via RxNav,2026-06-28
Acido ursodesossicolico,,,,NIL,RxNorm current via RxNav,2026-06-28
Acido valproico,11118,valproic acid,PIN,LINKED,RxNorm current via RxNav,2026-06-28
Acido valproico/sodio valproato,,,,NIL,RxNorm current via RxNav,2026-06-28
Aclidinio,1303098,aclidinium,IN,LINKED,RxNorm current via RxNav,2026-06-28
Aclidinio/formoterolo,,,,NIL,RxNorm current via RxNav,2026-06-28
Adalimumab,327361,adalimumab,IN,LINKED,RxNorm current via RxNav,2026-06-28
Ademetionina,,,,NIL,RxNorm current via RxNav,2026-06-28
Albumina umana,,,,NIL,RxNorm current via RxNav,2026-06-28
Alfuzosina,17300,alfuzosin,IN,LINKED,RxNorm current via RxNav,2026-06-28
Alirocumab,1659152,alirocumab,IN,LINKED,RxNorm current via RxNav,2026-06-28
Allopurinolo,,,,NIL,RxNorm current via RxNav,2026-06-28
Alluminio idrossido,,,,NIL,RxNorm current via RxNav,2026-06-28
Alluminio idrossido/magnesio idrossido,,,,NIL,RxNorm current via RxNav,2026-06-28
Aloperidolo,,,,NIL,RxNorm current via RxNav,2026-06-28
