ingredient,atc4,rxcui,how
Abaloparatide,H05AA,1921069,raw
131-I Iodomethyl Norcholesterol,V09XA,,unresolved
Abatacept,L04AA,614391,raw
Abacavir,J05AF,190521,raw
Abacavir Solfato,J05AF,190521,salt
Abemaciclib,L01EF,1946825,raw
Abies Nigra,V03AX,,unresolved
Abiraterone,L02BX,1100072,raw
Acamprosato,N07BB,82819,raw
Abrocitinib,D11AH,2591476,raw
Abiraterone Acetato,L02BX,1100072,salt
Acalabrutinib,L01EL,1986808,raw
Acarbosio,A10BF,16681,raw
Acebutololo,C07AB,149,raw
Aceclofenac,M01AB,16689,raw
Acenocumarolo,B01AA,154,raw
Acetilcisteina,R05CB,197,raw
Acetazolamide,S01EC,167,raw
Acetossietilcefuroxima,J01DC,,unresolved
Acetilcolina Cloruro,S01EB,194,raw
Achillea Millefolium,V03AX,,unresolved
Aciclovir,J05AB,281,raw
Acetylcysteine,R05CB,197,raw
Aciclovir Sale Sodico,J05AB,281,salt
Acidi Omega 3 Esteri Etilici 90,C10AX,,unresolved
Acido 5-Aminolevulinico,L01XD,683,raw
Acido 5-Aminolevulinico Cloridrato,L01XD,683,salt
Acido Alendronico,M05BA,236083,raw
Acido Acetilsalicilico,B01AC,1191,raw
Acido Arsenioso,L01XX,,unresolved
Acido Ascorbico,A11GA,1151,raw
Acido Azelaico,D10AX,18602,raw
Acido Bempedoico,C10AX,2282403,raw
Acido Borico,D08AD,,unresolved
Acido Carglumico,A16AA,401713,raw
Acido Chenodesossicolico,A05AA,,unresolved
Acido Clodronico,M05BA,3350,raw
Acido Cromoglicico Sale Disodico,A07EB,42612,raw
Acido Colico,A05AA,,unresolved
Acido Dimercaptosuccinico (Dmsa),V09CA,,unresolved
Acido Edetico Sale Disodico,V03AB,,unresolved
Acido Etacrinico,C03CC,4109,raw
Acido Etacrinico Sale Sodico,C03CC,4109,salt
Acido Folico,B03BB,4511,raw
Acido Fusidico,D06AX,4608,raw
Acido Edetico Sale Di Calcio Bisodico,V03AB,,unresolved
Acido Fusidico Sale Sodico,D06AX,4608,salt
Acido Gadoterico,V08CA,25483,raw
Acido Gadobenico Sale Dimegluminico,V08CA,,unresolved
Acido Ialuronico,S01XA,,unresolved
Acido Gadoxetico Disodio,V08CA,,unresolved
Acido Ibandronico,M05BA,115265,raw
Acido Levo Folinico,V03AF,6313,raw
Acido Micofenolico,L04AA,7145,raw
Acido Niflumico,M01AX,7418,raw
Acido Neridronico,M05BA,,unresolved
Acido Ialuronico Sale Sodico,D03AX,,unresolved
Acido Pentetico,V09CA,,unresolved
Acido Pipemidico Triidrato,J01MB,8337,salt
Acido Risedronico,M05BA,55685,raw
Acido Salicilico,D11AF,,unresolved
Acido Tauroursodesossicolico Diidrato,A05AA,,unresolved
Acido Tiaprofenico,M01AE,38253,raw
Acido Tioctico,A16AX,6417,raw
Acido Tricloracetico,D11AF,,unresolved
Acido Spaglumico Sale Sodico,S01GX,,unresolved
Acido Tranexamico,B02AA,10691,raw
Acido Ursodesossicolico,A05AA,,unresolved
Acido Zoledronico,M05BA,77655,raw
Acido Zoledronico Monoidrato,M05BA,77655,salt
Acidum Benzoicum,V03AX,,unresolved
Acidum Muriaticum,V03AX,,unresolved
Acidum Fluoricum,V03AX,,unresolved
Acido Ursodesossicolico Estere Solforico Sale Sodico,A05AA,,unresolved
Acidum Nitricum,V03AX,,unresolved
Acidum Picricum,V03AX,,unresolved
Acidum Phosphoricum,V03AX,,unresolved
Acipimox,C10AD,16817,raw
Acidum Sulfuricum,V03AX,,unresolved
Acitretina,D05BB,16818,raw
Aconitum Napellus,V03AX,,unresolved
Acoramidis,C01EB,2698312,raw
Acqua Per Preparazioni Iniettabili,V07AB,,unresolved
Actaea Spicata,V03AX,,unresolved
Actaea Racemosa,V03AX,,unresolved
Adagrasib,L01XX,2625882,raw
Adalimumab,L04AB,327361,raw
Adenoidi,V03AX,,unresolved
Adapalene,D10AD,60223,raw
Ademetionina,A05BA,,unresolved
Ademetionina Butandisolfonato,N06AX,,unresolved
Adenosina,C01EB,296,raw
Adrenalinum,N01BB,,unresolved
Aethusa Cynapium,V03AX,,unresolved
Adrenalina,N01BB,,unresolved
Ademetionina  Tosilato Disolfato,A16AA,,unresolved
Afamelanotide,D02BB,2262250,raw
Afatinib,L01EB,1430438,raw
Aflibercept,S01LA,1232150,raw
Agalsidasi Alfa,A16AB,2691830,raw
Agomelatina,N06AX,,unresolved
Agalsidasi Beta,A16AB,338817,raw
Agnus Castus,V03AX,,unresolved
Agni Casti Fructus Extractum Siccum,G02CX,236664,raw
Agraphis Nutans,V03AX,,unresolved
Ailanthus Altissima,V03AX,,unresolved
Alanilglutamina,B05XB,1359422,raw
Albendazolo,P02CA,430,raw
Albumina Umana Macroaggregati (Macrosalb),V09GA,,unresolved
Albumina Umana,B05AA,,unresolved
Albumina Umana Macrogrregati,V09EB,,unresolved
Albumina Umana Particelle Nanocolloidali,V09GA,,unresolved
Albutrepenonacog Alfa,B02BD,1743992,raw
Alcinonide,D07AD,5084,raw
Alcool Benzilico,V04CL,,unresolved
Aldesleuchina,L03AC,70223,raw
Alectinib,L01ED,1727455,raw
Alemtuzumab,L04AG,117055,raw
Alendronato Sodico,M05BA,46041,salt
Alendronato Sodico Triidrato,M05BA,46041,salt
Alfa Tocoferolo,A11HA,,unresolved
Alfa Ketoanaloghi,V06DD,,unresolved
Alfacalcidolo,A11CC,12062,raw
Alfuzosina Cloridrato,G04CA,17300,salt
Alirocumab,C10AX,1659152,raw
Alglucosidasi Acida Umana Ricombinante,A16AB,629565,raw
Aliskiren,C09XA,325646,raw
Alitretinoina,D11AH,81864,raw
Alizapride,A03FA,17311,raw
Allium Cepa,V03AX,,unresolved
Allopurinolo,M04AA,519,raw
Allium Sativum,V03AX,,unresolved
Almotriptan Idrogenomalato,N02CC,279645,raw
Aloe,V03AX,,unresolved
"Allergeni, Veleno Di Insetti",V01AA,,unresolved
Alogliptin,A10BH,1368001,raw
Aloperidolo Decanoato,N05AD,26420,raw
Aloperidolo,N05AD,5093,raw
Alpelisib,L01EM,2169285,raw
Alprazolam,N05BA,596,raw
Alprostadil,G04BE,598,raw
Alprostadil Alfaciclodestrina,C01EA,598,raw
Alteplasi,B01AD,8410,raw
Alumina,V03AX,,unresolved
Amantadina,N04BB,620,raw
Ambra Grisea,V03AX,,unresolved
Ambrisentan,C02KX,358274,raw
Ambroxolo,R05CB,625,raw
Ambroxolo Acefillinato,R03DA,,unresolved
Ambroxolo Cloridrato,R05CB,625,salt
Amfotericina B,J02AA,732,raw
Amfotericina B Liposomal,J02AA,732,raw
Amifampridina Fosfato,N07XX,2106338,salt
Amikacina Solfato,J01GB,641,salt
Amifampridine,N07XX,2106338,raw
Aminaftone,C05CX,,unresolved
Aminoacidi,B05BA,,unresolved
Aminofillina,R03DA,,unresolved
Aminofillina Biidrata,R03DA,,unresolved
Amiodarone,C01BD,703,raw
Amiodarone Cloridrato,C01BD,703,salt
Amisulpride,N05AL,46303,raw
Amisulpride (Td),N05AL,46303,raw
Amitriptilina,N06AA,704,raw
Amitriptilina Cloridrato,N06AA,704,salt
Amivantamab,L01FX,2549199,raw
Amlodipina,C08CA,17767,raw
Amlodipina Besilato,C08CA,17767,salt
Ammonio Solfoittiolato,D10AB,,unresolved
Ammonium Carbonicum,V03AX,,unresolved
Ammonium Muriaticum,V03AX,,unresolved
Amorolfina,D01AE,17804,raw
Amorolfina Cloridrato,D01AE,17804,salt
Amorolfine,D01AE,17804,raw
Amoxicillina,J01CA,723,raw
Amoxicillina Triidrato,J01CA,723,salt
Ampicillina,J01CA,733,raw
Ampicillina Sodica,J01CA,733,salt
Amsacrina,L01XX,739,raw
Anacardium,V03AX,,unresolved
Anagrelide (Td),L01XX,596724,raw
Anagrelide Cloridrato,L01XX,596724,salt
Anakinra,L04AC,72435,raw
Anas Barbarie Hepatis Et Cordis Extractum,V03AX,,unresolved
Anastrozolo,L02BG,84857,raw
Andexanet Alfa,V03AB,2045114,raw
Angiotensina Ii,C01CX,1999003,raw
Andusomeran,J07BN,2664725,raw
Anidulafungina,J02AX,341018,raw
Anifrolumab,L04AG,2565265,raw
Anti Cd 11,V03AX,,unresolved
Anti Cd 13,V03AX,,unresolved
Anti Cd 14,V03AX,,unresolved
Anti Cd 15,V03AX,,unresolved
Anti Cd 21,V03AX,,unresolved
Anti Cd 23,V03AX,,unresolved
Anti Cd 25,V03AX,,unresolved
Anti Cd 35,V03AX,,unresolved
Anti Cd 26,V03AX,,unresolved
Anti Cd 36,V03AX,,unresolved
Anti Cd 43,V03AX,,unresolved
Anti Cd 44,V03AX,,unresolved
Anti Cd 46,V03AX,,unresolved
Anti Cd 54,V03AX,,unresolved
Anti Cd 62,V03AX,,unresolved
Anti Cd 55,V03AX,,unresolved
Anti Cd 81,V03AX,,unresolved
Antimonium Crudum,V03AX,,unresolved
Antitrombina Iii Umana,B01AB,221062,raw
Apalutamide,L02BB,1999574,raw
Apatite,V03AX,,unresolved
Antimonium Tartaricum,V03AX,,unresolved
Antigene Di Superficie Dell''Epatite B,J07BC,,unresolved
Apis,V03AX,,unresolved
Apixaban,B01AF,1364430,raw
Apomorfina Cloridrata Emiidrata,N04BC,1043,raw
Apocynum Cannabinum,V03AX,,unresolved
